service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               
4060X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
4061J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
4062V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
4063S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
4064D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
4065L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
4066M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
4067X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
4068J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
4069V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
4070S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
4071D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
4072L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
4073M,0,1,0,0,0,0,0,20251209,20251209                                                                                                                 
4074X,0,0,1,0,0,0,0,20251210,20251210                                                                                                                 
4075J,0,0,0,1,0,0,0,20251211,20251211                                                                                                                 
4076V,0,0,0,0,1,0,0,20251212,20251212                                                                                                                 
4077S,0,0,0,0,0,1,0,20251213,20251213                                                                                                                 
4078D,0,0,0,0,0,0,1,20251214,20251214                                                                                                                 
4079L,1,0,0,0,0,0,0,20251215,20251215                                                                                                                 
4080M,0,1,0,0,0,0,0,20251216,20251216                                                                                                                 
4081X,0,0,1,0,0,0,0,20251217,20251217                                                                                                                 
4082J,0,0,0,1,0,0,0,20251218,20251218                                                                                                                 
4083V,0,0,0,0,1,0,0,20251219,20251219                                                                                                                 
4084S,0,0,0,0,0,1,0,20251220,20251220                                                                                                                 
4155V,0,0,0,0,1,0,0,20251121,20251121                                                                                                                 
4156S,0,0,0,0,0,1,0,20251122,20251122                                                                                                                 
4157D,0,0,0,0,0,0,1,20251123,20251123                                                                                                                 
4158L,1,0,0,0,0,0,0,20251124,20251124                                                                                                                 
4159M,0,1,0,0,0,0,0,20251125,20251125                                                                                                                 
4160X,0,0,1,0,0,0,0,20251126,20251126                                                                                                                 
4161J,0,0,0,1,0,0,0,20251127,20251127                                                                                                                 
4162V,0,0,0,0,1,0,0,20251128,20251128                                                                                                                 
4163S,0,0,0,0,0,1,0,20251129,20251129                                                                                                                 
4164D,0,0,0,0,0,0,1,20251130,20251130                                                                                                                 
4165L,1,0,0,0,0,0,0,20251201,20251201                                                                                                                 
4166M,0,1,0,0,0,0,0,20251202,20251202                                                                                                                 
4167X,0,0,1,0,0,0,0,20251203,20251203                                                                                                                 
4168J,0,0,0,1,0,0,0,20251204,20251204                                                                                                                 
4169V,0,0,0,0,1,0,0,20251205,20251205                                                                                                                 
4170S,0,0,0,0,0,1,0,20251206,20251206                                                                                                                 
4171D,0,0,0,0,0,0,1,20251207,20251207                                                                                                                 
4172L,1,0,0,0,0,0,0,20251208,20251208                                                                                                                 
